id,latitude,longitude,neighbourhood,room_type,bedrooms,cleaning_fee,security_deposit,Free_parking_on_premises,extra_people,Pool,Dryer,m2,reviews_per_month,Hot_tub,Air_conditioning,Crib,Washer,Dishwasher,Suitable_for_events,property_type,Full_kitchen,Internet,Bathtub,Cable_TV,price
11280550,-22.97253,-43.383109999999995,7,0,4.0,250.0,2100.0,1,350.0,1,0,9334.0,0.03,0,1,0,1,0,0,1,0,1,0,0,1398.0
11288380,-22.98477,-43.23408,3,0,3.0,170.0,0.0,1,150.0,0,1,23625.0,0.05,0,1,0,1,1,0,1,0,1,0,1,164.0
11291278,-22.98325,-43.20766,1,0,1.0,140.0,700.0,0,49.0,0,0,20908.0,0.72,0,1,0,1,0,0,1,0,1,0,1,231.0
11292187,-22.97982,-43.192170000000004,0,0,3.0,170.0,1000.0,1,0.0,0,0,12169.0,0.72,0,1,0,1,1,0,1,0,1,0,1,298.0
11292928,-22.98101,-43.216609999999996,3,1,1.0,105.0,0.0,0,0.0,0,0,23625.0,0.05,0,1,0,1,0,0,1,0,1,0,1,260.0
11298085,-22.93706,-43.18855,10,1,1.0,80.0,0.0,0,0.0,1,0,9687.0,0.99,0,1,0,1,0,0,1,0,0,0,0,63.0
11304839,-23.00447,-43.32909,7,0,2.0,140.0,0.0,1,80.0,1,0,9334.0,0.19,0,1,0,0,0,0,1,0,0,0,0,701.0
11315949,-22.98424,-43.20303,1,0,3.0,300.0,1500.0,0,50.0,0,0,20908.0,0.15,0,1,0,1,0,0,1,0,0,0,1,978.0
11318841,-23.027829999999998,-43.47911,12,2,1.0,0.0,0.0,1,65.0,1,0,6120.0,0.03,0,1,0,0,0,1,4,0,1,0,1,59.0
11323281,-23.00302000000001,-43.32861,7,0,1.0,190.0,0.0,1,50.0,1,1,9334.0,1.08,0,1,0,1,0,0,1,0,1,0,1,139.0
11336439,-22.96835,-43.18187,0,0,1.0,300.0,1200.0,0,40.0,0,0,12169.0,0.35,0,1,0,0,0,0,1,0,1,0,1,97.0
11341664,-23.02226,-43.484320000000004,12,0,2.0,150.0,0.0,1,60.0,1,0,6120.0,1.61,0,1,0,1,0,0,1,0,1,0,1,202.0
11344884,-22.95551,-43.18544,8,0,2.0,135.0,400.0,1,0.0,1,0,11378.0,0.05,0,1,0,1,0,0,1,0,1,0,1,500.0
11353562,-22.98532,-43.194379999999995,1,1,1.0,50.0,0.0,0,0.0,0,0,20908.0,2.3,0,1,0,1,0,0,1,0,1,0,0,71.0
11355929,-22.99036,-43.35355,7,0,4.0,200.0,0.0,1,0.0,1,1,9334.0,0.34,0,1,0,1,1,0,1,0,1,0,1,1201.0
11360852,-22.982229999999998,-43.22167,3,0,2.0,150.0,500.0,1,40.0,0,0,23625.0,1.4,0,1,0,1,0,0,0,0,1,0,1,252.0
11371248,-22.97152,-43.39403,7,0,1.0,150.0,2000.0,1,100.0,1,1,9334.0,0.03,0,1,0,1,0,0,1,0,1,0,1,1998.0
11385393,-22.966639999999998,-43.17691,0,0,2.0,200.0,0.0,0,100.0,0,0,12169.0,1.79,0,1,0,0,0,0,1,0,1,0,1,382.0
11385585,-22.98272,-43.22047,3,0,2.0,150.0,0.0,0,0.0,0,0,23625.0,0.16,0,1,0,0,0,0,1,0,1,0,1,647.0
11389612,-23.01388,-43.30527,7,0,3.0,200.0,3000.0,1,0.0,1,0,9334.0,0.22,1,1,0,1,1,0,1,0,1,0,1,4001.0
11394644,-22.96931,-43.3911,7,0,3.0,200.0,1000.0,1,200.0,0,0,9334.0,0.64,0,1,0,1,0,0,1,0,1,0,0,701.0
11395074,-22.9719,-43.397459999999995,7,0,2.0,170.0,386.0,1,100.0,1,0,9334.0,0.08,1,1,0,0,0,0,1,0,1,0,0,399.0
11396571,-23.01078,-43.46223,12,0,3.0,160.0,500.0,1,50.0,1,0,6120.0,1.46,1,0,0,1,0,0,1,0,1,0,1,160.0
11397393,-23.0114,-43.37103,7,0,1.0,180.0,600.0,1,150.0,1,0,9334.0,0.34,0,1,0,0,0,0,0,0,0,0,1,239.0
11398141,-22.98639,-43.2076,1,0,2.0,672.0,0.0,1,210.0,1,0,20908.0,1.09,1,1,0,0,0,0,1,0,0,0,1,626.0
11398415,-23.00231,-43.329409999999996,7,0,2.0,170.0,1500.0,1,50.0,1,0,9334.0,0.45,1,1,1,1,0,0,1,0,0,0,1,181.0
11403709,-22.91861,-43.17828,5,0,0.0,180.0,500.0,0,25.0,0,0,7869.0,1.08,0,0,0,0,0,0,1,0,0,0,0,122.0
11407198,-22.91791,-43.18759,14,0,1.0,0.0,500.0,0,34.0,0,0,7660.0,0.31,0,1,0,1,0,0,1,0,0,0,1,109.0
11408305,-23.00768,-43.3241,7,0,2.0,170.0,500.0,1,25.0,1,0,9334.0,0.2,0,1,0,1,0,0,0,0,0,0,1,298.0
11408327,-23.00921,-43.339420000000004,7,1,1.0,55.0,1050.0,1,126.0,0,1,9334.0,0.03,0,1,0,1,0,0,4,0,1,0,1,210.0
11409020,-22.97839,-43.19266,0,0,2.0,200.0,0.0,0,0.0,0,0,12169.0,0.13,0,1,0,1,0,0,1,0,0,0,1,407.0
11411215,-22.97172,-43.18829,0,0,1.0,150.0,1000.0,0,100.0,0,0,12169.0,1.55,0,1,0,0,0,0,1,0,1,0,1,147.0
11412180,-22.95564,-43.17474,8,0,1.0,120.0,600.0,0,0.0,0,0,11378.0,0.36,0,1,0,1,0,0,1,0,1,0,1,231.0
11417962,-22.98378,-43.22213,3,0,3.0,200.0,1000.0,1,0.0,0,1,23625.0,0.08,0,1,0,1,0,0,1,0,1,0,1,999.0
11419441,-22.92162,-43.17661,9,1,1.0,0.0,0.0,0,30.0,0,0,9264.0,0.3,0,0,0,1,0,0,1,0,0,0,1,84.0
11429531,-23.0285,-43.46725,12,0,2.0,0.0,0.0,1,0.0,1,0,6120.0,0.26,0,1,0,0,0,0,1,0,1,0,1,542.0
11429699,-22.96706,-43.17735,0,1,1.0,120.0,400.0,0,100.0,0,0,12169.0,0.18,0,1,0,1,0,0,1,0,1,0,1,185.0
11430874,-23.00544,-43.34908,7,0,3.0,0.0,0.0,1,0.0,1,0,9334.0,0.08,1,1,0,1,0,0,1,0,1,0,1,1835.0
11431285,-22.97041,-43.184509999999996,0,0,2.0,130.0,0.0,0,25.0,0,0,12169.0,1.61,0,1,0,0,0,0,1,0,1,0,1,218.0
11435113,-23.011999999999997,-43.31105,7,0,3.0,250.0,1500.0,1,50.0,0,1,9334.0,1.11,0,1,0,1,0,0,1,0,1,0,1,500.0
11436713,-22.95351,-43.187909999999995,8,0,2.0,180.0,318.0,1,100.0,0,1,11378.0,2.62,0,1,0,1,0,0,1,0,0,0,1,139.0
11438095,-23.022879999999997,-43.486509999999996,12,0,3.0,180.0,800.0,1,100.0,1,0,6120.0,0.03,0,1,0,0,0,0,1,0,0,0,0,348.0
11438476,-22.96595,-43.1778,0,0,0.0,63.0,420.0,0,42.0,0,0,12169.0,0.44,0,1,0,1,0,0,1,0,1,0,1,147.0
11438898,-22.96985,-43.18568,0,0,1.0,120.0,450.0,0,80.0,0,0,12169.0,0.11,0,1,0,0,0,0,1,0,1,0,1,151.0
11450117,-22.97397,-43.389509999999994,7,0,2.0,200.0,0.0,1,50.0,1,1,9334.0,1.09,1,1,0,1,0,0,1,0,1,1,1,319.0
11450136,-22.987370000000002,-43.189859999999996,1,0,4.0,250.0,0.0,0,150.0,0,0,20908.0,0.11,0,0,0,1,0,0,1,0,1,0,1,499.0
11453526,-23.0081,-43.32435,7,0,2.0,100.0,0.0,1,0.0,1,0,9334.0,0.04,0,1,0,1,0,0,1,0,0,0,0,600.0
11458200,-22.90729,-43.191959999999995,14,0,0.0,150.0,400.0,0,50.0,0,0,7660.0,0.2,0,1,0,0,0,0,2,0,0,0,0,97.0
11459817,-22.98643,-43.22953,3,0,2.0,0.0,5000.0,1,0.0,1,0,23625.0,0.05,0,1,0,1,0,0,1,0,1,0,1,1138.0
11477020,-22.9814,-43.190059999999995,0,0,2.0,210.0,630.0,0,105.0,0,0,12169.0,0.91,0,1,0,1,0,0,1,0,1,0,1,336.0
11494026,-22.96779,-43.185,0,1,1.0,120.0,400.0,0,75.0,0,0,12169.0,0.45,0,1,0,1,0,0,1,0,1,0,0,67.0
11495013,-22.920170000000002,-43.181509999999996,5,1,1.0,0.0,0.0,0,25.0,0,0,7869.0,0.17,0,0,0,1,0,0,4,0,0,0,0,122.0
11508481,-22.9368,-43.190459999999995,10,1,1.0,37.0,0.0,0,0.0,0,0,9687.0,2.3,0,1,0,1,0,0,4,0,1,0,1,118.0
11513766,-23.010170000000002,-43.32817,7,0,2.0,120.0,0.0,1,60.0,1,0,9334.0,2.31,0,1,0,1,0,0,0,0,1,0,1,294.0
11531110,-23.00404,-43.342459999999996,7,0,3.0,200.0,2000.0,1,30.0,1,0,9334.0,0.19,0,1,0,1,0,0,1,0,0,0,0,500.0
11531217,-23.00777,-43.32664000000001,7,0,2.0,200.0,400.0,1,0.0,1,0,9334.0,0.05,0,1,0,0,0,0,1,0,1,1,0,252.0
11531812,-22.985329999999998,-43.22267,3,0,2.0,200.0,0.0,1,0.0,0,0,23625.0,2.72,0,1,0,1,0,0,1,0,0,0,0,348.0
11532333,-22.96371,-43.17568,0,0,2.0,120.0,0.0,0,40.0,0,1,12169.0,1.07,0,1,0,1,0,0,1,0,0,0,0,151.0
11540645,-22.98411,-43.22421,3,0,4.0,210.0,4198.0,1,0.0,1,0,23625.0,0.03,1,1,0,1,0,0,1,0,1,0,1,2519.0
11550985,-23.00556,-43.34131,7,1,1.0,0.0,0.0,0,0.0,1,1,9334.0,0.28,0,1,0,1,0,1,3,0,1,0,1,202.0
