id,neighbourhood,bedrooms,realizado,previsto,diferenca_relativa,ranking
25953323,Barra da Tijuca,1.0,197.0,260.1901898582606,-0.2428615386793932,0.999824963263413
7626969,Recreio dos Bandeirantes,3.0,252.0,332.93186902305615,-0.2430883809968083,0.9997516430363064
5325370,Centro,0.0,126.0,166.6612861297563,-0.24397559309664107,0.9994648773508169
32671767,Copacabana,1.0,210.0,276.4592313402904,-0.2403943287337239,0.9993775823832823
34564320,Ipanema,2.0,218.0,288.6538014366266,-0.24477003623365945,0.999208096553066
13989407,Leme,1.0,109.0,143.25796825705635,-0.23913481863420838,0.998970482122661
21004139,Barra da Tijuca,1.0,202.0,268.0596034417248,-0.24643624997410662,0.9986695410875338
30426247,Copacabana,1.0,151.0,198.09053806067175,-0.23772229871094963,0.9985139258559723
23751702,Copacabana,1.0,151.0,198.03487667733043,-0.23750804639309597,0.9984446749825806
30816816,Copacabana,1.0,130.0,170.3533492262453,-0.23688028095445457,0.9982417679365965
2686679,Ipanema,2.0,294.0,391.0349754801673,-0.2481490955150859,0.9981159132393687
10128695,Barra da Tijuca,2.0,202.0,268.6859206014141,-0.24819283590352426,0.998101775422181
1817143,Copacabana,3.0,348.0,454.6912430970085,-0.23464547584050544,0.9975194317324828
15452321,Copacabana,2.0,168.0,219.33580372744157,-0.23405118022242366,0.9973273428392693
31953870,Santa Teresa,1.0,151.0,201.52678897142263,-0.2507199624888955,0.9972849547456945
5227607,Ipanema,1.0,159.0,212.2187491159955,-0.2507730788993905,0.9972677864001893
12055963,Barra da Tijuca,1.0,193.0,251.86134132158648,-0.2337053436336226,0.9972155611509069
17646772,Copacabana,1.0,139.0,181.3420779738806,-0.2334928464864029,0.9971468775857273
31191153,Copacabana,1.0,126.0,168.2668727429671,-0.25118950660912964,0.9971331881709016
33617129,Copacabana,1.0,118.0,153.89099519484594,-0.2332234914031408,0.9970598163349775
34342315,Copacabana,1.0,160.0,208.55402380898556,-0.2328126924727002,0.9969270374460193
30355881,Copacabana,2.0,193.0,251.08821563876603,-0.23134584588524065,0.9964529216542714
10225838,Ipanema,1.0,168.0,225.06261414260254,-0.25354106171737145,0.9963731159032801
2466836,Copacabana,1.0,151.0,202.4350388165413,-0.25408170007147224,0.9961983701708393
22160955,Copacabana,4.0,348.0,466.94969282935386,-0.254737704416531,0.9959863357139939
2875924,Copacabana,4.0,298.0,400.34731974774934,-0.2556463218293463,0.9956926513793429
6798367,Gávea,3.0,252.0,339.2530421014433,-0.2571916277035269,0.9951931758893404
9903460,Copacabana,3.0,298.0,385.70541221370297,-0.2273896332186004,0.9951741901790077
2361521,Ipanema,2.0,210.0,271.4322513182235,-0.22632627854602716,0.994830491494492
10151402,Copacabana,2.0,281.0,363.05186073121774,-0.2260058950419872,0.9947269367806048
4865385,Copacabana,2.0,252.0,340.4351575029166,-0.25977093009895413,0.9943594908892728
3532589,Copacabana,1.0,130.0,167.6224608913207,-0.2244476109661313,0.9942232664617664
22602640,Laranjeiras,1.0,101.0,130.0883692785174,-0.22360468841176417,0.9939508160926122
22124093,Copacabana,0.0,160.0,216.59817818117514,-0.26130495951740274,0.9938636601878822
